POLY,x1,x2,x3,x4,x5
1,1,0.309441,2.440629,2,2.440629
2,2,0.259329,2.236939,3,2.236939
3,3,0.192468,2.187547,4,2.187547
4,4,0.083841,1.427635,5,1.427635
5,5,0.488888,2.997133,6,2.997133
6,6,0.283079,2.335634,7,2.335634
7,7,0.257084,2.554577,8,2.554577
8,8,0.204954,2.139524,9,2.139524
9,9,0.500755,3.169707,10,3.169707
10,10,0.246689,2.087235,11,2.087235
11,11,0.041012,0.919488,12,0.919488
12,12,0.035769,0.902125,13,0.902125
13,13,0.034377,0.93659,14,0.93659
14,14,0.060884,1.128424,15,1.128424
15,15,0.106653,1.437606,16,1.437606
16,16,0.093154,1.340061,17,1.340061
17,17,0.102087,1.382359,18,1.382359
18,18,0.055494,1.183352,19,1.183352
19,19,0.061342,1.249247,20,1.249247
20,20,0.444629,3.174601,21,3.174601
21,21,0.699258,5.07749,22,5.07749
22,22,0.192891,1.992717,23,1.992717
23,23,0.24712,2.147528,24,2.147528
24,24,0.192226,2.240392,25,2.240392
25,25,0.17168,1.666489,26,1.666489
26,26,0.107298,1.406823,27,1.406823
27,27,0.137802,1.780751,28,1.780751
28,28,0.174773,1.637148,29,1.637148
29,29,0.085972,1.312158,30,1.312158
30,30,0.104355,1.524931,31,1.524931
31,31,0.117409,1.716047,32,1.716047
32,32,0.18558,2.108951,33,2.108951
33,33,0.087472,1.507971,34,1.507971
34,34,0.226594,2.519132,35,2.519132
35,35,0.175453,1.974937,36,1.974937
36,36,0.17813,1.790058,37,1.790058
37,37,0.121154,1.402252,38,1.402252
38,38,0.053881,0.934509,39,0.934509
39,39,0.174823,2.335402,40,2.335402
40,40,0.302908,2.285487,41,2.285487
41,41,0.137024,1.525097,42,1.525097
42,42,0.266541,2.176543,43,2.176543
43,43,0.060241,0.967793,44,0.967793
44,44,0.173337,1.868044,45,1.868044
45,45,0.256431,2.193039,46,2.193039
46,46,0.124728,1.841029,47,1.841029
47,47,0.245249,2.079986,48,2.079986
48,48,0.069762,1.102032,49,1.102032
49,49,0.205964,2.199169,50,2.199169
